Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
103,Need for Speed: Undercover,,X360,Electronic Arts,EA Vancouver,6.0,6.3,,,1690000.0,800000.0,700000.0,10000.0,180000.0,2008-11-17 00:00:00,N/A
104,PGR: Project Gotham Racing 2,,XB,Microsoft Game Studios,Bizarre Creations,,8.9,,,1670000.0,970000.0,590000.0,40000.0,70000.0,2003-11-17 00:00:00,N/A
105,Spy Hunter,,PS2,Midway Games,Paradigm Entertainment,,,,,1670000.0,1130000.0,320000.0,,220000.0,2001-09-24 00:00:00,N/A
106,Need for Speed Carbon,,X360,Electronic Arts,EA Black Box,,7.9,,,1650000.0,760000.0,690000.0,20000.0,180000.0,2006-10-31 00:00:00,N/A
107,Sled Storm,,PS,Electronic Arts,EA Canada,,,,,1620000.0,900000.0,610000.0,,110000.0,1999-08-10 00:00:00,N/A
108,Midnight Club 3: DUB Edition (America/Others Sales),,PS2,Rockstar Games,Rockstar San Diego,,,,,1600000.0,1300000.0,230000.0,,70000.0,2005-04-11 00:00:00,N/A
109,F-1 World Grand Prix,,N64,Video System,Paradigm Entertainment,,,,1600000.0,,,,,,1998-07-31 00:00:00,N/A
110,Diddy Kong Racing DS,,DS,Nintendo,Rare Ltd.,,5.1,,1590000.0,,,,,,2007-02-05 00:00:00,N/A
111,NASCAR 2000,,PS,EA Sports,Stormfront Studios,,,,,1590000.0,880000.0,600000.0,,100000.0,1999-09-30 00:00:00,N/A
112,Smuggler's Run,,PS2,Rockstar Games,Rockstar San Diego,,,,,1560000.0,770000.0,600000.0,,200000.0,2000-10-25 00:00:00,N/A
113,Stuntman,,PS2,Atari,Reflections Interactive,,,,,1550000.0,760000.0,590000.0,,200000.0,2002-06-23 00:00:00,N/A
114,Need for Speed: Most Wanted (2012),,X360,Electronic Arts,Criterion Games,,,,,1540000.0,620000.0,790000.0,10000.0,120000.0,2012-10-30 00:00:00,2018-12-19 00:00:00
115,NASCAR 98,,PS,EA Sports,Stormfront Studios,,,,,1520000.0,1430000.0,50000.0,,40000.0,1997-01-01 00:00:00,N/A
116,F1 Race,,NES,Nintendo,Nintendo,,,,1520000.0,,,,,,1984-11-02 00:00:00,N/A
117,NASCAR 99,,PS,EA Sports,Stormfront Studios,,,,,1520000.0,1450000.0,40000.0,,40000.0,1998-09-30 00:00:00,N/A
118,Forza Motorsport 7,,XOne,Microsoft Studios,Turn 10 Studios,,8.9,,,1520000.0,580000.0,810000.0,10000.0,120000.0,2017-10-03 00:00:00,2018-01-12 00:00:00
119,Sonic Rivals 2,,PSP,Sega,Backbone Entertainment,,6.4,,,1520000.0,440000.0,700000.0,,370000.0,2007-11-13 00:00:00,N/A
120,Tokyo Xtreme Racer Zero,,PS2,Crave Entertainment,Genki,,,,,1500000.0,660000.0,520000.0,150000.0,170000.0,2001-05-28 00:00:00,N/A
121,Carmageddon,,Series,Interplay Productions,Stainless Games|Aqua Pacific| Software Creations|Torus Games,,,,1500000.0,,,,,,1997-06-30 00:00:00,2020-02-28 00:00:00
122,Forza Horizon 2,,XOne,Microsoft Studios,Playground Games,,,,,1460000.0,560000.0,790000.0,10000.0,110000.0,2014-09-30 00:00:00,2018-03-24 00:00:00
123,Sonic & SEGA All-Stars Racing,,Wii,Sega,Sumo Digital,8.0,7.9,,,1450000.0,610000.0,690000.0,,150000.0,2010-02-23 00:00:00,N/A
124,Sonic Rivals,,PSP,Sega,Backbone Entertainment,,7.0,,,1440000.0,730000.0,430000.0,,280000.0,2006-11-16 00:00:00,N/A
125,Kinect Joy Ride,,X360,Microsoft Game Studios,Big Park,,5.6,,,1430000.0,920000.0,390000.0,0.0,120000.0,2010-11-04 00:00:00,N/A
126,Twisted Metal: Black,,PS2,Sony Computer Entertainment,Incognito Inc.,,8.9,,,1410000.0,1190000.0,170000.0,,50000.0,2001-06-18 00:00:00,N/A
127,NASCAR 2005: Chase for the Cup,,PS2,EA Sports,EA Tiburon,,,,,1410000.0,690000.0,540000.0,,180000.0,2004-08-31 00:00:00,N/A
128,Need for Speed: Undercover,,PS2,Electronic Arts,EA Vancouver,,,,,1400000.0,380000.0,80000.0,30000.0,930000.0,2008-11-17 00:00:00,N/A
129,Gran Turismo 4 Prologue,,PS2,Sony Computer Entertainment,Polyphony Digital,,,,1400000.0,,,,,,2004-05-18 00:00:00,N/A
130,Colin McRae Rally 3,,PS2,Codemasters,Codemasters,,,,,1400000.0,30000.0,1050000.0,20000.0,300000.0,2003-04-22 00:00:00,N/A
131,Ridge Racer 7,,PS3,Namco Bandai,Namco Bandai,,,,,1370000.0,240000.0,700000.0,160000.0,260000.0,2006-11-13 00:00:00,N/A
132,Need for Speed: The Run,,X360,Electronic Arts,EA Black Box,,5.5,,,1370000.0,630000.0,570000.0,0.0,160000.0,2011-11-15 00:00:00,N/A
133,Burnout Paradise,,X360,Electronic Arts,Criterion,,8.9,,,1350000.0,630000.0,570000.0,10000.0,140000.0,2008-01-22 00:00:00,N/A
134,Kirby Air Ride,,GC,Nintendo,HAL Laboratory,,6.4,,1350000.0,,,,,,2003-10-13 00:00:00,N/A
135,The Simpsons: Hit & Run,,XB,VU Games,Radical Entertainment,,,,,1350000.0,700000.0,580000.0,,70000.0,2003-09-16 00:00:00,N/A
136,Test Drive,,PS2,Atari,Pitbull Syndicate,,,,,1340000.0,950000.0,210000.0,10000.0,180000.0,2002-05-27 00:00:00,N/A
137,F1 2010,,PS3,Codemasters,Codemasters Birmingham,,8.0,,,1340000.0,250000.0,750000.0,80000.0,260000.0,2010-09-21 00:00:00,N/A
138,Need for Speed Carbon,,PS2,Electronic Arts,EA Black Box,,7.7,,,1340000.0,1220000.0,50000.0,50000.0,10000.0,2006-10-31 00:00:00,N/A
139,Corvette,,PS2,Global Star Software,Steel Monkeys,,,,,1330000.0,650000.0,510000.0,,170000.0,2004-03-09 00:00:00,N/A
140,Need for Speed Underground Rivals,,PSP,Electronic Arts,Team Fusion,,7.6,,,1320000.0,690000.0,380000.0,20000.0,240000.0,2005-03-14 00:00:00,N/A
141,TOCA 2 Touring Car Championship,,PS,Codemasters,Codemasters,,,,,1320000.0,30000.0,1160000.0,20000.0,110000.0,1999-10-31 00:00:00,N/A
142,TNN Motor Sports Hardcore 4x4,,PS,ASC Games,Gremlin Interactive,,,,,1310000.0,730000.0,500000.0,,90000.0,1996-11-30 00:00:00,N/A
143,IHRA Drag Racing 2,,PS2,Bethesda Softworks,Bethesda Softworks,,,,,1310000.0,640000.0,500000.0,,170000.0,2002-12-09 00:00:00,N/A
144,Burnout 3: Takedown,,XB,Electronic Arts,Criterion Games,,9.3,,,1310000.0,840000.0,430000.0,,40000.0,2004-09-07 00:00:00,N/A
145,Test Drive 5,,PS,Accolade,Pitbull Syndicate,,,,,1300000.0,1050000.0,200000.0,,50000.0,1998-09-30 00:00:00,N/A
146,Midnight Club 3: DUB Edition (America weekly sales),,PS2,Rockstar Games,Rockstar San Diego,,,,,1290000.0,1220000.0,50000.0,,10000.0,2005-04-11 00:00:00,N/A
147,Project CARS,,PS4,Bandai Namco Games,Slightly Mad Studios,,,,,1280000.0,290000.0,760000.0,40000.0,190000.0,2015-05-12 00:00:00,2018-01-05 00:00:00
148,Need for Speed Carbon,,Wii,Electronic Arts,EA Black Box,,6.4,,,1280000.0,450000.0,660000.0,20000.0,150000.0,2006-11-19 00:00:00,N/A
149,Twisted Metal 4,,PS,989 Studios,989 Studios,,6.7,,,1280000.0,1070000.0,160000.0,,40000.0,1999-10-31 00:00:00,N/A
150,Road Rash,,PS,Electronic Arts,Advanced Technology Group,,,,,1270000.0,710000.0,480000.0,,80000.0,1995-12-29 00:00:00,N/A
151,Need for Speed Rivals,,PS3,Electronic Arts,Ghost Games,,,,,1270000.0,330000.0,690000.0,50000.0,190000.0,2013-11-19 00:00:00,2018-01-16 00:00:00
152,Need for Speed: Most Wanted,,X360,Electronic Arts,Electronic Arts,,8.4,,,1250000.0,1000000.0,130000.0,20000.0,100000.0,2005-11-16 00:00:00,N/A
153,Cars 2,,DS,Disney Interactive Studios,Avalanche Software,,6.5,,,1250000.0,680000.0,410000.0,40000.0,120000.0,2011-06-21 00:00:00,N/A
