Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
136,Classic NES Series: The Legend of Zelda,,GBA,Nintendo,Nintendo,,,,,890000.0,460000.0,170000.0,240000.0,20000.0,2004-06-02 00:00:00,N/A
137,CSI: Hard Evidence,,Wii,Ubisoft,Telltale Games,,,,,890000.0,360000.0,430000.0,,100000.0,2008-01-15 00:00:00,N/A
138,Minecraft: Story Mode,,PS4,Mojang,Telltale Games,,,,,870000.0,310000.0,420000.0,,140000.0,2015-10-27 00:00:00,2018-01-13 00:00:00
139,HuniePop,,PC,Unknown,HuniePot,,,,860000.0,,,,,,N/A,2019-02-06 00:00:00
140,Harry Potter and the Order of the Phoenix,,DS,Electronic Arts,Visual Impact,,,,,840000.0,280000.0,460000.0,,100000.0,2007-06-25 00:00:00,N/A
141,Metroid: Zero Mission,,GBA,Nintendo,Nintendo R&D1,,8.9,,,840000.0,600000.0,220000.0,,10000.0,2004-02-09 00:00:00,N/A
142,Scooby-Doo! First Frights,,DS,Warner Bros. Interactive,Torus Games,,,,,830000.0,600000.0,160000.0,,70000.0,2009-09-22 00:00:00,N/A
143,Mega Man Legends,,PS,Capcom,Capcom,,,,,830000.0,390000.0,260000.0,120000.0,50000.0,1998-08-31 00:00:00,N/A
144,MediEvil,,PS,Sony Computer Entertainment,SCEE Cambridge,,,,,830000.0,460000.0,310000.0,,50000.0,1998-10-01 00:00:00,2018-12-03 00:00:00
145,Casper,,PS,Interplay,Funcom,,4.9,,,830000.0,460000.0,310000.0,,50000.0,1996-09-17 00:00:00,N/A
146,MediEvil: Resurrection,,PSP,Sony Computer Entertainment,SCEE,,6.5,,,820000.0,190000.0,420000.0,,220000.0,2005-09-13 00:00:00,N/A
147,The Walking Dead: A Telltale Games Series,,PS3,Telltale Games,Telltale Games,,,,,820000.0,400000.0,250000.0,30000.0,140000.0,2012-11-20 00:00:00,2018-05-10 00:00:00
148,Professor Layton vs Ace Attorney,,3DS,Nintendo,Level 5,,8.1,,,820000.0,200000.0,270000.0,300000.0,40000.0,2014-08-29 00:00:00,2018-01-07 00:00:00
149,Kamaitachi no Yoru,,SNES,ChunSoft,ChunSoft,,,,,810000.0,,,810000.0,,1994-11-25 00:00:00,N/A
150,The Legend of Zelda: Four Swords Adventures,,GC,Nintendo,Nintendo EAD,,8.4,,,810000.0,630000.0,160000.0,,20000.0,2004-06-07 00:00:00,N/A
151,The 7th Guest,,PC,Virgin Interactive,Trilobyte,,,,,800000.0,30000.0,770000.0,,,1993-01-01 00:00:00,N/A
152,Prince of Persia: Warrior Within,,XB,Ubisoft,Ubisoft Montreal,,,,,800000.0,480000.0,280000.0,,40000.0,2004-11-30 00:00:00,N/A
153,The Godfather II,,X360,Electronic Arts,EA Redwood Shores,8.2,6.2,,,790000.0,470000.0,230000.0,10000.0,80000.0,2009-04-07 00:00:00,N/A
154,Drawn to Life,,DS,THQ,5TH Cell,,,,,780000.0,710000.0,10000.0,,60000.0,2007-09-10 00:00:00,N/A
155,Minecraft: Story Mode,,XOne,Mojang,Telltale Games,,,,,770000.0,460000.0,240000.0,,70000.0,2015-10-27 00:00:00,2018-01-13 00:00:00
156,That's So Raven,,GBA,Buena Vista,Disney Interactive,,,,,760000.0,540000.0,200000.0,,10000.0,2004-10-12 00:00:00,N/A
157,The Walking Dead: A Telltale Games Series,,X360,Telltale Games,Telltale Games,,,,,760000.0,550000.0,130000.0,,70000.0,2012-11-21 00:00:00,2018-05-10 00:00:00
158,Raving Rabbids: Travel in Time,,Wii,Ubisoft,Ubisoft Paris,,,,,750000.0,210000.0,460000.0,,80000.0,2010-11-21 00:00:00,N/A
159,Deponia,,PC,Daedalic Entertainment,Daedalic Entertainment,,,,740000.0,,,,,,2012-01-27 00:00:00,N/A
160,The Godfather II,,PS3,Electronic Arts,EA Redwood Shores,8.2,6.4,,,740000.0,410000.0,210000.0,10000.0,100000.0,2009-04-07 00:00:00,N/A
161,iCarly,,DS,Activision,"Human Soft, Inc.",,,,,730000.0,670000.0,10000.0,,50000.0,2009-10-27 00:00:00,N/A
162,My Little Pony: Pinkie Pie's Party,,DS,THQ,ImaginEngine Corp.,,,,,730000.0,670000.0,,,60000.0,2008-09-22 00:00:00,N/A
