Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
851,Dragon Quest Builders: Revive Alefgard,,NS,Square Enix,Square Enix,,8.0,,,220000.0,70000.0,70000.0,70000.0,10000.0,2018-02-09 00:00:00,2018-02-04 00:00:00
852,Tales of Graces,,Wii,Namco Bandai,Namco Tales Studio,,,,,220000.0,,,220000.0,,2009-12-10 00:00:00,N/A
853,The Legend of Heroes: Trails in the Sky FC,,PSP,Xseed Games,Nihon Falcom Corporation,,,,,220000.0,100000.0,30000.0,60000.0,30000.0,2011-03-29 00:00:00,2018-10-29 00:00:00
854,Kingdom Come: Deliverance,,XOne,Deep Silver,Warhorse Studios,,,,,220000.0,140000.0,60000.0,,20000.0,2018-02-13 00:00:00,2018-01-10 00:00:00
855,Ragnarok DS,,DS,Xseed Games,GungHo Works,,7.0,,,220000.0,100000.0,,110000.0,10000.0,2010-02-16 00:00:00,N/A
856,The Witch and the Hundred Knight,,PS3,NIS America,Nippon Ichi Software,,,,,220000.0,80000.0,20000.0,100000.0,20000.0,2014-03-25 00:00:00,2018-07-04 00:00:00
857,Magna Carta: Tears of Blood,,PS2,Atlus,SoftMax,,6.1,,,220000.0,110000.0,80000.0,,30000.0,2005-11-16 00:00:00,N/A
858,Shin Megami Tensei: Persona,,PSP,Atlus,Atlus Co.,7.2,7.6,,,220000.0,80000.0,,130000.0,10000.0,2009-09-22 00:00:00,N/A
859,Lords of the Fallen,,XOne,Namco Bandai Games,DECK13 Interactive,,,,,220000.0,100000.0,100000.0,,20000.0,2014-10-28 00:00:00,2018-05-10 00:00:00
860,Growlanser: Heritage of War,,PS2,Atlus,Career Soft,,,,,220000.0,110000.0,80000.0,,30000.0,2007-09-18 00:00:00,N/A
861,Chroma Squad,,PC,Behold Studios,Behold Studios,,,,220000.0,,,,,,2015-04-30 00:00:00,2019-03-08 00:00:00
862,Hunted: The Demon's Forge,,X360,Bethesda Softworks,InXile Entertainment,,6.0,,,220000.0,130000.0,70000.0,0.0,20000.0,2011-05-31 00:00:00,N/A
863,Destiny Warriors RPG,,PC,Unknown,ninjalex,,,,220000.0,,,,,,N/A,2019-02-23 00:00:00
864,Digimon World Re:Digitize,,PSP,Namco Bandai Games,Tri-Crescendo,,,,,220000.0,,,220000.0,,2012-07-19 00:00:00,2018-10-31 00:00:00
865,Atelier Escha & Logy: Alchemists of the Dusk Sky,,PS3,Tecmo Koei,Gust,,,,,210000.0,60000.0,30000.0,100000.0,20000.0,2014-03-11 00:00:00,2018-01-02 00:00:00
866,Lunar: Silver Star Story Complete,,SAT,Kadokawa Shoten,Kadokawa Shoten,,,,,210000.0,,,210000.0,0.0,1997-07-04 00:00:00,N/A
867,Heroes of Ruin,,3DS,Square Enix,n-Space,,6.6,,,210000.0,130000.0,70000.0,,20000.0,2012-07-17 00:00:00,N/A
868,Phantasy Star 0,,DS,Sega,Sonic Team,,7.5,,210000.0,,,,,,2009-11-10 00:00:00,N/A
869,The Legend of Heroes: Trails of Cold Steel,,PS3,Xseed Games,Nihon Falcom Corporation,,,,,210000.0,60000.0,20000.0,120000.0,20000.0,2015-12-22 00:00:00,2018-10-31 00:00:00
870,The Bard's Tale,,PS2,inXile Entertainment,InXile Entertainment,,,,,210000.0,100000.0,80000.0,,30000.0,2004-10-26 00:00:00,N/A
871,Ys VIII: Lacrimosa of Dana,,PS4,NIS America,Falcom,,,,,210000.0,80000.0,40000.0,80000.0,20000.0,2017-09-12 00:00:00,2018-01-10 00:00:00
872,Radiant Historia: Perfect Chronology,,3DS,Atlus,Atlus,,8.1,,,210000.0,110000.0,30000.0,60000.0,10000.0,2018-02-13 00:00:00,2018-03-01 00:00:00
873,The Chronicles of Narnia: Prince Caspian,,DS,Disney Interactive Studios,Fall Line Studio,,,,,210000.0,190000.0,10000.0,,20000.0,2008-05-15 00:00:00,N/A
874,Summoner 2,,PS2,THQ,Volition Inc.,,,,,210000.0,100000.0,80000.0,,30000.0,2002-09-23 00:00:00,N/A
875,Valkyria Chronicles III: Unrecorded Chronicles,,PSP,Unknown,Sega WOW Overworks,,,,,210000.0,,,210000.0,,1970-01-01 00:00:00,N/A
876,Fallout 76,,PC,Bethesda Softworks,Bethesda Game Studios,,3.7,,,210000.0,120000.0,70000.0,,20000.0,2018-11-14 00:00:00,2018-12-02 00:00:00
877,Bastard!! Utsuro Naru Kamigami no Utsuwa,,PS,Seta Corporation,Seta Corporation,,,,,210000.0,,,200000.0,10000.0,1996-12-28 00:00:00,N/A
878,Angel Blade: Neo Tokyo Guardians,,PS,On Demand,Nippon Ichi Software,,,,,210000.0,120000.0,80000.0,,10000.0,1997-07-03 00:00:00,N/A
